commit	val_bpb	memory_gb	status	description
8ebd589	1.345913	5.3	keep	baseline: DEPTH=8, WINDOW=SSSL, default hyperparams
eb585fd	1.176273	4.7	keep	DEPTH=6, WINDOW=L: smaller model, more steps, less VRAM
b82a665	0.781611	4.7	keep	TOTAL_BATCH_SIZE 2^17: 77 steps vs 28, massive improvement
6ca6116	0.660010	4.7	keep	TOTAL_BATCH_SIZE 2^16: 157 steps, trend continues
4d9be33	0.625961	4.7	keep	TOTAL_BATCH_SIZE 2^15: 312 steps, diminishing returns
3acc966	0.611901	2.4	keep	DEVICE_BATCH_SIZE=8, 2^14: 601 steps, tiny gain, 2.5GB VRAM
470fb25	0.602986	2.4	keep	HEAD_DIM=64: 6 heads vs 3, same VRAM, 726 steps
a164648	0.602227	2.4	keep	MLP_RATIO=3: marginally better + fewer params + 767 steps
aa43a45	0.621193	1.3	discard	TOTAL_BATCH_SIZE 2^13: too small, gradient noise hurts
20cefb1	0.613006	2.4	discard	MATRIX_LR 0.05: LR too high, diverges
374787d	0.612048	2.3	discard	DEPTH=4 ASPECT_RATIO=96: shallower hurts, depth matters
662dfc2	0.618452	2.4	discard	WARMDOWN_RATIO=0.6: longer warmdown hurts, 0.5 is sweet spot
867abc8	0.638939	2.6	discard	DEPTH=8 ASPECT_RATIO=48: deeper too slow, 526 steps insufficient
9aecfa1	0.624722	2.4	discard	FINAL_LR_FRAC=0.1: residual LR hurts, decay to zero is better
95db9a6	0.614441	2.4	discard	WEIGHT_DECAY=0.1: less regularization doesn't help
4dafaf8	0.627950	2.4	discard	ns_steps=3: less precise Muon orthogonalization hurts quality
3495038	0.604804	2.4	discard	ADAM_BETAS beta1=0.9: marginally worse, within noise
06592fb	0.608021	2.4	discard	WARMDOWN_RATIO=0.4: slightly shorter cooldown, 0.5 still better
9a20cb7	0.621766	2.4	discard	MATRIX_LR=0.03: too low, 0.04 is the sweet spot
c0cfdd4	0.677069	3.5	discard	GQA n_kv_head=2: SDPA no GQA kernel on RTX3070Ti, 797s eval
7dd60e6	0.638568	2.4	discard	WARMUP_RATIO=0.02: warmup hurts, 541 steps (had GPU contention)
14641dd	0.603176	2.4	discard	MLP_RATIO=2: too narrow, 3x is sweet spot
4179a4d	0.631035	2.3	discard	no VE: value embeddings are crucial for quality
52ef5e9	0.601520	2.4	keep	EMBEDDING_LR=1.0: faster chess token embedding, 847 steps
e2a672e	0.601849	2.4	discard	SCALAR_LR=0.3: within noise, 0.5 is better
58ac56b	0.606673	2.4	discard	LOGIT_SOFTCAP=30: less capping hurts, 15 is sweet spot
9da04af	0.598034	2.4	keep	ASPECT_RATIO=48: model_dim 384->320, 944 steps vs 847
4dc3015	0.619919	2.3	discard	ASPECT_RATIO=40: model_dim 256 too small, capacity hurts
87eff1b	0.600902	2.4	discard	ROPE_BASE=500: worse than 10000, positional encoding hurt
8d09678	0.605172	2.4	discard	softcap=10: tighter cap hurts, 15 is sweet spot
3e2a3e8	0.587627	2.4	keep	DEPTH=5 AR=64: same model_dim=320, 1059 steps vs 944
3c0586c	0.586599	2.3	keep	DEPTH=4 AR=80: same model_dim=320, 1228 steps vs 1059
0fed872	0.584987	2.3	keep	DEPTH=3 AR=96: same model_dim=320, 1506 steps vs 1228
78a7ca1	0.603630	2.2	discard	DEPTH=2 AR=160: too shallow, 1765 steps insufficient capacity
3373818	0.605586	2.3	discard	DEPTH=3 AR=80: model_dim 256 too narrow, capacity hurts
59dd0e6	0.599083	2.3	discard	EMBEDDING_LR=2.0: too high, fewer steps and unstable
50ea295	0.616268	2.4	discard	HEAD_DIM=32: 10 heads hurt, 64-dim heads better for chess
0c210e8	0.592315	2.4	discard	MLP_RATIO=4: more MLP hurts, fewer steps dominates
a7e168a	0.602444	2.3	discard	WARMDOWN_RATIO=0.45: 0.5 is still sweet spot
fb72668	0.622660	2.4	discard	SwiGLU: relu^2 is better for chess, gating hurts
c9bbf10	0.599956	2.3	discard	no checkpointing: slower on this hardware, fewer steps
59b981b	0.599518	2.4	discard	VE all layers: extra VE at middle layer wastes capacity
d911e19	0.596548	2.3	discard	Muon beta2=0.90: faster second-moment hurts, 0.95 better
33f2734	0.606363	2.4	discard	WEIGHT_DECAY=0.3: more regularization hurts, 0.2 optimal
5dfe1bc	0.598360	2.3	discard	ns_steps=7: slower steps with no quality gain vs 5
edd83e8	0.603569	2.3	discard	ADAM_BETAS beta2=0.9: faster AdamW variance hurts, 0.95 better
4d8b603	0.606462	2.4	discard	Muon warmup 300->100 steps: faster warmup hurts stability
84e05c8	0.598495	2.3	discard	ns_steps=6: also worse than 5
0fa35b7	0.597391	2.3	discard	Muon beta2=0.97: higher than 0.95 hurts, 0.95 is sweet spot
6ae8a65	0.597132	2.3	discard	Muon momentum=0.98: higher than 0.95 hurts, 0.95 is sweet spot
3c830c6	0.589275	2.3	discard	x0_lambdas init=0.05: worse than 0.1; sweet spot confirmed at 0.1
64be040	0.591094	2.3	discard	Muon WD=0: scheduled WD decay is important for Muon matrix params
840bbb3	0.594998	2.3	discard	softcap=20: worse than 15, sweet spot confirmed at 15
afed185	0.601334	2.3	discard	ADAM_BETAS beta1=0.7: lower than 0.8 hurts, 0.8 is sweet spot
6d8659f	0.593501	2.3	discard	ROPE_BASE=100000: worse than 10000, sweet spot confirmed at 10000
6468b53	0.601047	2.3	discard	Muon warmup 500 steps: slower warmup hurts, 300 is sweet spot
3e7d0c1	1.340297	2.3	discard	label_smoothing=0.1: corrupts eval BPB metric (smoothed != standard CE)
faa5a6c	0.593375	2.3	discard	gradient clipping max_norm=1.0: slower+worse, no clipping is better
27b7f41	0.619765	2.3	discard	AdamW eps=1e-8: much worse, aggressive 1e-10 critical for embedding LRs
00593cb	0.611293	2.3	discard	VE gate channels=64: slower (1079 steps) and worse than 32
